,#,Company,Symbol,Weight,Price,Chg,% Chg
126,127,Illinois Tool Works Inc.,ITW,0.174349,226.94,0.55,(0.24%)
127,128,Air Products and Chemicals Inc.,APD,0.171673,289.04,-1.25,(-0.43%)
128,129,Boston Scientific Corporation,BSX,0.167249,44.00,-0.13,(-0.28%)
129,130,Eaton Corp. Plc,ETN,0.166906,155.76,-0.98,(-0.62%)
130,131,Regeneron Pharmaceuticals Inc.,REGN,0.165124,579.19,-7.17,(-1.22%)
131,132,Moody's Corporation,MCO,0.164353,379.79,-2.07,(-0.54%)
132,133,Humana Inc.,HUM,0.162418,466.05,-5.17,(-1.10%)
133,134,Dominion Energy Inc,D,0.162182,74.91,-0.42,(-0.55%)
134,135,Analog Devices Inc.,ADI,0.161377,164.10,0.55,(0.34%)
135,136,IDEXX Laboratories Inc.,IDXX,0.15852,682.52,-11.22,(-1.62%)
136,137,Emerson Electric Co.,EMR,0.158056,98.34,-0.15,(-0.15%)
137,138,Twitter Inc.,TWTR,0.153052,68.64,-3.05,(-4.25%)
138,139,Waste Management Inc.,WM,0.152442,146.69,0.30,(0.20%)
139,140,Global Payments Inc.,GPN,0.152437,191.20,-1.84,(-0.95%)
140,141,Progressive Corporation,PGR,0.148303,94.57,-0.17,(-0.17%)
141,142,NXP Semiconductors NV,NXPI,0.145484,198.59,2.24,(1.14%)
142,143,Ecolab Inc.,ECL,0.144957,218.81,0.92,(0.42%)
143,144,Northrop Grumman Corporation,NOC,0.144799,358.82,-2.49,(-0.69%)
144,145,Dollar General Corporation,DG,0.144748,229.62,0.72,(0.31%)
145,146,Ford Motor Company,F,0.144464,14.00,0.18,(1.30%)
146,147,Aon Plc Class A,AON,0.140528,251.96,19.48,(8.38%)
147,148,Vertex Pharmaceuticals Incorporated,VRTX,0.139422,199.23,-1.28,(-0.64%)
148,149,Roper Technologies Inc.,ROP,0.139406,488.43,-8.20,(-1.65%)
149,150,Chipotle Mexican Grill Inc.,CMG,0.137725,"1,805.00",-25.92,(-1.42%)
150,151,Freeport-McMoRan Inc.,FCX,0.137178,36.71,1.52,(4.32%)
151,152,Johnson Controls International plc,JCI,0.13663,70.31,-0.62,(-0.87%)
152,153,KLA Corporation,KLAC,0.132177,319.42,-1.35,(-0.42%)
153,154,Biogen Inc.,BIIB,0.131164,331.24,5.84,(1.79%)
154,155,Newmont Corporation,NEM,0.128682,60.35,0.24,(0.39%)
155,156,Trane Technologies plc,TT,0.12848,200.01,-1.44,(-0.72%)
156,157,MSCI Inc. Class A,MSCI,0.127902,577.29,-1.66,(-0.29%)
157,158,Public Storage,PSA,0.127537,313.04,-0.77,(-0.24%)
158,159,IQVIA Holdings Inc,IQV,0.127439,247.07,-2.01,(-0.81%)
159,160,eBay Inc.,EBAY,0.127159,73.33,-0.21,(-0.29%)
160,161,T. Rowe Price Group,TROW,0.126291,206.12,-1.24,(-0.60%)
161,162,L3Harris Technologies Inc,LHX,0.124955,225.76,-1.49,(-0.66%)
162,163,Agilent Technologies Inc.,A,0.12414,150.38,-1.93,(-1.27%)
163,164,Align Technology Inc.,ALGN,0.122935,635.98,-2.30,(-0.36%)
164,165,Kimberly-Clark Corporation,KMB,0.122657,135.03,-0.63,(-0.46%)
165,166,TE Connectivity Ltd.,TEL,0.122454,138.85,0.50,(0.36%)
166,167,Exelon Corporation,EXC,0.121495,46.22,-0.30,(-0.65%)
167,168,Dow Inc.,DOW,0.119796,61.90,1.79,(2.98%)
168,169,DexCom Inc.,DXCM,0.118514,451.11,-9.61,(-2.09%)
169,170,General Dynamics Corporation,GD,0.117579,191.93,0.07,(0.04%)
170,171,O'Reilly Automotive Inc.,ORLY,0.116602,619.10,-1.82,(-0.29%)
171,172,Digital Realty Trust Inc.,DLR,0.116336,153.66,-1.20,(-0.77%)
