,#,Company,Symbol,Weight,Price,Chg,% Chg
384,385,UDR Inc.,UDR,0.04357,54.85,-0.08,(-0.15%)
385,386,Kellogg Company,K,0.04318,63.29,-0.15,(-0.23%)
386,387,PTC Inc.,PTC,0.042926,151.63,-1.06,(-0.69%)
387,388,AES Corporation,AES,0.042701,23.99,0.09,(0.38%)
388,389,MGM Resorts International,MGM,0.042581,38.97,0.21,(0.54%)
389,390,Raymond James Financial Inc.,RJF,0.042184,130.19,1.69,(1.32%)
390,391,Principal Financial Group Inc.,PFG,0.042174,62.60,0.41,(0.66%)
391,392,Omnicom Group Inc,OMC,0.041587,73.29,0.99,(1.37%)
392,393,Textron Inc.,TXT,0.041295,68.01,-0.02,(-0.03%)
393,394,Masco Corporation,MAS,0.041119,59.39,-0.39,(-0.65%)
394,395,Devon Energy Corporation,DVN,0.040584,26.64,1.02,(3.96%)
395,396,United Airlines Holdings Inc.,UAL,0.040496,49.00,1.47,(3.08%)
396,397,Las Vegas Sands Corp.,LVS,0.040214,45.22,-0.56,(-1.21%)
397,398,NortonLifeLock Inc.,NLOK,0.040128,25.67,-0.12,(-0.45%)
398,399,Eastman Chemical Company,EMN,0.039986,112.09,2.04,(1.85%)
399,400,ABIOMED Inc.,ABMD,0.039747,324.41,-4.11,(-1.25%)
400,401,Incyte Corporation,INCY,0.039627,77.34,-1.96,(-2.47%)
401,402,Evergy Inc.,EVRG,0.03951,64.97,-0.11,(-0.17%)
402,403,Baker Hughes Company Class A,BKR,0.039407,20.82,0.61,(2.99%)
403,404,Bio-Rad Laboratories Inc. Class A,BIO,0.039349,685.77,2.85,(0.42%)
404,405,Alliant Energy Corp,LNT,0.039175,58.42,-0.19,(-0.32%)
405,406,CenterPoint Energy Inc.,CNP,0.039133,25.29,0.11,(0.42%)
406,407,Westinghouse Air Brake Technologies Corporation,WAB,0.038858,82.25,0.44,(0.53%)
407,408,PulteGroup Inc.,PHM,0.038463,53.37,-0.71,(-1.30%)
408,409,J.M. Smucker Company,SJM,0.03828,130.93,0.43,(0.33%)
409,410,Leidos Holdings Inc.,LDOS,0.037972,106.64,0.22,(0.21%)
410,411,LKQ Corporation,LKQ,0.037888,50.89,0.13,(0.25%)
411,412,Diamondback Energy Inc.,FANG,0.037844,79.70,1.46,(1.87%)
412,413,Citrix Systems Inc.,CTXS,0.037806,114.75,-0.18,(-0.16%)
413,414,Advance Auto Parts Inc.,AAP,0.037662,214.06,-0.89,(-0.42%)
414,415,J.B. Hunt Transport Services Inc.,JBHT,0.03736,165.70,-1.55,(-0.93%)
415,416,DENTSPLY SIRONA Inc.,XRAY,0.037256,63.54,-0.05,(-0.08%)
416,417,Interpublic Group of Companies Inc.,IPG,0.036875,35.51,0.22,(0.61%)
417,418,Whirlpool Corporation,WHR,0.03685,220.68,1.16,(0.53%)
418,419,FMC Corporation,FMC,0.036796,106.61,0.26,(0.24%)
419,420,Fortune Brands Home & Security Inc.,FBHS,0.036416,97.42,-0.75,(-0.76%)
420,421,American Airlines Group Inc.,AAL,0.036404,21.94,0.74,(3.47%)
421,422,Jack Henry & Associates Inc.,JKHY,0.035866,175.96,-0.31,(-0.18%)
422,423,Hormel Foods Corporation,HRL,0.035568,47.26,-0.09,(-0.18%)
423,424,Brown-Forman Corporation Class B,BF.B,0.035193,72.24,0.22,(0.31%)
424,425,Atmos Energy Corporation,ATO,0.034792,99.28,-0.17,(-0.17%)
425,426,Cboe Global Markets Inc,CBOE,0.034471,118.65,-1.55,(-1.29%)
426,427,WestRock Company,WRK,0.033947,49.13,0.96,(1.98%)
427,428,Packaging Corporation of America,PKG,0.033897,134.67,1.04,(0.78%)
428,429,Howmet Aerospace Inc.,HWM,0.0338,32.40,0.02,(0.06%)
429,430,Allegion PLC,ALLE,0.033776,138.29,-0.89,(-0.64%)
430,431,Iron Mountain Inc.,IRM,0.033491,43.45,0.03,(0.07%)
431,432,Lumen Technologies Inc.,LUMN,0.033352,12.90,0.27,(2.10%)
432,433,C.H. Robinson Worldwide Inc.,CHRW,0.033243,92.57,-0.31,(-0.33%)
433,434,Quanta Services Inc.,PWR,0.033227,88.04,-1.73,(-1.93%)
434,435,Snap-on Incorporated,SNA,0.032558,220.78,-3.82,(-1.70%)
435,436,Loews Corporation,L,0.032513,53.83,0.26,(0.49%)
436,437,Fox Corporation Class A,FOXA,0.032363,36.50,0.31,(0.86%)
437,438,Universal Health Services Inc. Class B,UHS,0.031778,154.58,1.91,(1.25%)
438,439,F5 Networks Inc.,FFIV,0.031682,193.54,1.36,(0.71%)
439,440,Hasbro Inc.,HAS,0.03157,103.56,11.15,(12.07%)
440,441,Pentair plc,PNR,0.030409,68.59,0.13,(0.19%)
441,442,Mohawk Industries Inc.,MHK,0.030279,190.71,-1.13,(-0.59%)
442,443,BorgWarner Inc.,BWA,0.030039,47.63,0.63,(1.34%)
443,444,Live Nation Entertainment Inc.,LYV,0.029825,81.90,4.19,(5.39%)
444,445,Tapestry Inc.,TPR,0.029791,41.13,1.04,(2.59%)
445,446,Host Hotels & Resorts Inc.,HST,0.029773,16.14,0.36,(2.25%)
446,447,Lamb Weston Holdings Inc.,LW,0.029555,76.00,0.50,(0.66%)
447,448,Henry Schein Inc.,HSIC,0.029476,77.46,0.10,(0.13%)
448,449,Wynn Resorts Limited,WYNN,0.029146,103.80,0.23,(0.22%)
449,450,Lincoln National Corporation,LNC,0.029093,61.51,1.23,(2.03%)
450,451,Robert Half International Inc.,RHI,0.0281,93.40,0.53,(0.57%)
451,452,W. R. Berkley Corporation,WRB,0.028042,74.45,-0.36,(-0.48%)
452,453,Penn National Gaming Inc.,PENN,0.027984,72.66,2.33,(3.31%)
453,454,Newell Brands Inc,NWL,0.027622,27.37,0.04,(0.13%)
454,455,DISH Network Corporation Class A,DISH,0.02758,42.59,0.91,(2.17%)
455,456,Mosaic Company,MOS,0.027546,30.32,0.47,(1.57%)
456,457,Regency Centers Corporation,REG,0.027475,64.80,-0.25,(-0.38%)
457,458,CF Industries Holdings Inc.,CF,0.027076,47.58,0.27,(0.56%)
458,459,NRG Energy Inc.,NRG,0.026828,40.55,-0.46,(-1.11%)
459,460,DXC Technology Co.,DXC,0.026785,39.74,0.40,(1.02%)
460,461,NiSource Inc,NI,0.026043,25.12,-0.09,(-0.36%)
461,462,Everest Re Group Ltd.,RE,0.025964,243.45,0.66,(0.27%)
462,463,News Corporation Class A,NWSA,0.025891,24.76,0.01,(0.04%)
463,464,Western Union Company,WU,0.025522,23.38,0.16,(0.67%)
464,465,Pinnacle West Capital Corporation,PNW,0.025485,84.60,0.05,(0.05%)
465,466,A. O. Smith Corporation,AOS,0.025216,69.86,0.23,(0.33%)
466,467,Assurant Inc.,AIZ,0.025139,155.50,0.48,(0.31%)
467,468,Molson Coors Beverage Company Class B,TAP,0.025021,50.40,0.70,(1.40%)
468,469,Invesco Ltd.,IVZ,0.02499,24.97,0.15,(0.58%)
469,470,Comerica Incorporated,CMA,0.024942,67.71,0.69,(1.03%)
470,471,Marathon Oil Corporation,MRO,0.024283,11.80,0.30,(2.57%)
471,472,Juniper Networks Inc.,JNPR,0.024201,27.59,0.02,(0.05%)
472,473,Campbell Soup Company,CPB,0.024194,44.60,0.03,(0.06%)
473,474,Norwegian Cruise Line Holdings Ltd.,NCLH,0.024164,25.79,0.92,(3.68%)
474,475,Kimco Realty Corporation,KIM,0.024068,20.79,-0.03,(-0.12%)
475,476,Globe Life Inc.,GL,0.023728,93.51,0.15,(0.16%)
476,477,DaVita Inc.,DVA,0.023295,119.82,-0.79,(-0.66%)
477,478,Nielsen Holdings Plc,NLSN,0.023098,24.30,0.16,(0.64%)
478,479,Sealed Air Corporation,SEE,0.022766,55.41,0.47,(0.86%)
479,480,Rollins Inc.,ROL,0.022444,37.46,-0.45,(-1.17%)
480,481,Zions Bancorporation N.A.,ZION,0.022336,51.46,0.60,(1.17%)
481,482,Huntington Ingalls Industries Inc.,HII,0.021939,205.61,1.86,(0.91%)
482,483,Federal Realty Investment Trust,FRT,0.021662,116.56,-0.04,(-0.03%)
483,484,Franklin Resources Inc.,BEN,0.021382,29.87,0.57,(1.93%)
484,485,Discovery Inc. Class C,DISCK,0.020794,27.90,1.07,(3.99%)
485,486,IPG Photonics Corporation,IPGP,0.020711,213.37,-2.09,(-0.97%)
486,487,Organon & Co.,OGN,0.020157,29.52,-0.28,(-0.94%)
487,488,PVH Corp.,PVH,0.019374,103.63,1.73,(1.70%)
488,489,Alaska Air Group Inc.,ALK,0.01935,60.06,1.81,(3.11%)
489,490,Vornado Realty Trust,VNO,0.018478,44.15,0.13,(0.30%)
490,491,APA Corp.,APA,0.018404,18.72,0.51,(2.80%)
491,492,People's United Financial Inc.,PBCT,0.017365,15.72,0.46,(3.01%)
492,493,Leggett & Platt Incorporated,LEG,0.017238,48.11,-0.35,(-0.72%)
493,494,Cabot Oil & Gas Corporation,COG,0.016855,16.14,0.36,(2.25%)
494,495,Hanesbrands Inc.,HBI,0.016828,18.31,0.27,(1.47%)
495,496,Perrigo Co. Plc,PRGO,0.016499,46.18,-0.16,(-0.35%)
496,497,Gap Inc.,GPS,0.016031,29.78,0.64,(2.18%)
497,498,Unum Group,UNM,0.014998,27.96,0.43,(1.56%)
498,499,Ralph Lauren Corporation Class A,RL,0.014189,111.28,1.29,(1.17%)
499,500,NOV Inc.,NOV,0.014088,14.15,0.58,(4.27%)
500,501,Fox Corporation Class B,FOX,0.013985,34.27,0.26,(0.76%)
501,502,Discovery Inc. Class A,DISCA,0.012307,29.45,0.98,(3.42%)
502,503,Under Armour Inc. Class A,UAA,0.010365,20.50,0.00,(0.00%)
503,504,Under Armour Inc. Class C,UA,0.009255,17.75,0.11,(0.60%)
504,505,News Corporation Class B,NWS,0.007724,23.66,0.13,(0.53%)
